Proteome Id,Organism Id,Sequence Count,Median pI,KS Statistic,KS P-Value,Avg Asp+Glu%,Avg Lys%,DE/K Ratio,Validation Status
UP000426328,2283,2079,6.7575,0.6511,0.0,12.8,9.08,1.49,Failed
UP000474054,2283,2161,6.7544,0.6469,0.0,12.81,9.04,1.52,Failed
UP000060043,2285,2002,7.5193,0.7124,0.0,12.44,8.23,1.61,Failed
UP000693941,2286,2713,7.7074,0.6955,0.0,12.22,8.44,1.58,Failed
UP000694036,2286,2757,7.6199,0.682,0.0,12.29,8.33,1.61,Failed
UP000033057,2287,2308,7.6984,0.7093,0.0,12.31,8.4,1.56,Failed
UP000033085,2287,2309,7.6991,0.7094,0.0,12.31,8.4,1.56,Failed
UP000033106,2287,2309,7.6991,0.7094,0.0,12.31,8.4,1.56,Failed
UP000076770,2287,2868,7.8589,0.7186,0.0,12.04,8.37,1.56,Failed
UP000267993,2287,2280,7.7162,0.7087,0.0,12.3,8.41,1.55,Failed
UP000269431,2287,2273,7.6724,0.7086,0.0,12.27,8.35,1.56,Failed
UP000273194,2287,2280,7.7162,0.7087,0.0,12.3,8.41,1.55,Failed
UP000273443,2287,2270,7.7162,0.7084,0.0,12.31,8.42,1.55,Failed
UP000275843,2287,2280,7.7162,0.7087,0.0,12.3,8.41,1.55,Failed
UP000278715,2287,2268,7.7157,0.7083,0.0,12.31,8.42,1.55,Failed
UP000282269,2287,2272,7.7178,0.7086,0.0,12.31,8.42,1.55,Failed
UP000594632,2287,2420,7.6585,0.7062,0.0,12.3,8.33,1.57,Failed
UP000053352,2309,1105,7.9309,0.723,0.0,12.46,4.12,4.69,Failed
UP000440125,12915,2025,6.8199,0.6592,0.0,12.7,8.96,1.5,Failed
UP000651120,13773,2004,8.1807,0.7545,0.0,11.84,6.17,2.18,Failed
UP000248044,41673,2546,6.8931,0.6551,0.0,12.38,8.9,1.48,Failed
UP000423396,41675,1838,6.9375,0.6856,0.0,12.61,8.55,1.57,Failed
UP000029084,43687,2052,6.8278,0.6706,0.0,12.35,6.7,2.05,Failed
UP000056255,43687,2044,6.8293,0.6745,0.0,12.37,6.68,2.05,Failed
UP000061362,43687,2040,6.8312,0.673,0.0,12.38,6.68,2.05,Failed
UP000062398,43687,2040,6.8312,0.673,0.0,12.38,6.68,2.05,Failed
UP000062475,43687,2041,6.832,0.6731,0.0,12.37,6.68,2.05,Failed
UP000068832,43687,2039,6.8304,0.6734,0.0,12.38,6.68,2.05,Failed
UP000298568,47304,2101,6.7903,0.6699,0.0,12.39,6.67,2.07,Failed
UP001341135,54256,1787,7.0211,0.6405,0.0,12.59,4.41,4.19,Failed
UP000427373,69656,2392,6.9726,0.6813,0.0,12.55,8.79,1.53,Failed
UP000582213,69656,2602,7.0306,0.6725,0.0,12.48,8.79,1.54,Failed
UP000646844,111955,2295,6.9894,0.681,0.0,12.6,8.85,1.52,Failed
UP000554766,121277,1859,7.8503,0.7432,0.0,11.82,5.84,2.35,Failed
UP000002439,178306,2215,8.2731,0.752,0.0,11.77,6.15,2.18,Failed
UP001432202,207809,2387,7.1491,0.701,0.0,12.36,8.35,1.58,Failed
UP000001974,273057,2648,7.8191,0.7239,0.0,12.08,8.33,1.54,Failed
UP000001015,273063,2453,7.3244,0.6863,0.0,12.56,8.8,1.51,Failed
UP000193404,282676,2322,6.6701,0.6475,0.0,12.56,9.04,1.49,Failed
UP000001018,330779,1997,7.5518,0.7091,0.0,12.43,8.23,1.6,Failed
UP000001567,340102,1904,7.8292,0.7402,0.0,11.89,5.86,2.37,Failed
UP000000641,368408,1500,7.1938,0.7046,0.0,12.61,5.54,2.76,Failed
UP000002595,384616,1681,8.3695,0.7743,0.0,11.89,6.18,2.22,Failed
UP000001137,397948,1763,6.9145,0.7013,0.0,11.01,5.5,2.21,Failed
UP000000242,399549,2057,6.8271,0.6701,0.0,12.36,6.69,2.05,Failed
UP000000254,399550,1396,8.7539,0.7613,0.0,11.98,8.01,1.63,Failed
UP000001431,410359,1649,7.6729,0.7519,0.0,12.12,5.8,2.44,Failed
UP000002593,415426,1327,7.7195,0.6966,0.0,12.35,4.87,3.29,Failed
UP000006818,419942,2515,7.6949,0.7054,0.0,12.35,8.48,1.56,Failed
UP000001404,425944,2589,7.7082,0.7044,0.0,12.28,8.48,1.56,Failed
UP000001479,426118,2427,7.6162,0.7044,0.0,12.32,8.39,1.56,Failed
UP000001350,427317,2297,7.5907,0.7094,0.0,12.27,8.33,1.56,Failed
UP000002307,427318,2344,7.6164,0.7132,0.0,12.27,8.35,1.55,Failed
UP000001747,429572,2403,7.6661,0.7058,0.0,12.37,8.43,1.56,Failed
UP000002308,439386,2534,7.744,0.7078,0.0,12.18,8.39,1.56,Failed
UP000001694,444157,1510,8.0091,0.7755,0.0,12.12,5.13,3.0,Failed
UP000006903,490899,1344,7.0724,0.7037,0.0,11.85,6.13,2.2,Failed
