Proteome Id,Organism,Organism Id,Protein count,CPD,Taxon mnemonic,Components,Genome assembly ID,Genome representation,Complete,Single,Double,Fragmented,Missing,Count,Taxonomy_Root,Taxonomy_Domain,Taxonomy_Clade1,Taxonomy_Phylum,Taxonomy_Clade2,Taxonomy_Class,Taxonomy_Order,Taxonomy_Family,Taxonomy_Genus,Taxonomy_Species,Taxonomy_Level_11
UP000037729,Haloarcula rubripromontorii,1705562,3788,Unknown,9EURY,Unassembled WGS sequence,GCA_001280425.1,full,99.8,99.6,0.2,0.0,0.2,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,,
UP000037747,Halorubrum tropicale,1765655,3245,Unknown,9EURY,Unassembled WGS sequence,GCA_001280455.1,full,99.7,99.5,0.2,0.0,0.3,1039.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halorubrum,,
UP000066737,Halobacterium hubeiense,1407499,3340,Unknown,9EURY,Chromosome I; Plasmid pSTJ001; Plasmid pSTJ003; Plasmid pSTJ002,GCA_001488575.1,full,99.3,98.9,0.4,0.0,0.7,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,,
UP000198775,Halorientalis persicus,1367881,5137,Outlier (high value),9EURY,Unassembled WGS sequence,GCA_900110215.1,full,99.4,99.0,0.4,0.0,0.6,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Halorientalis,,
UP000198848,Natronobacterium texcoconense,1095778,4046,Outlier (high value),NATTX,Unassembled WGS sequence,GCA_900104065.1,full,98.2,97.1,1.1,0.1,1.7,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Natronobacterium,,
UP000198888,Halohasta litchfieldiae,1073996,3425,Unknown,9EURY,Unassembled WGS sequence,GCA_900109065.1,full,96.9,95.9,1.1,0.1,3.0,1039.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halohasta,,
UP000198902,Haloferax massiliensis,1476858,3877,Close to standard (high value),9EURY,Unassembled WGS sequence,GCA_001368915.1,full,98.0,96.3,1.7,0.8,1.2,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Haloferax,,
UP000198932,Halorubrum sodomense,35743,2994,Unknown,HALSD,Unassembled WGS sequence,GCA_900111935.1,full,99.8,99.7,0.1,0.0,0.2,1039.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halorubrum,,
UP000199062,Halomicrobium zhouii,767519,4091,Outlier (high value),9EURY,Unassembled WGS sequence,GCA_900114435.1,full,99.8,99.3,0.4,0.0,0.2,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Halomicrobium,,
UP000199076,Halorientalis regularis,660518,4204,Unknown,9EURY,Unassembled WGS sequence,GCA_900102305.1,full,99.8,99.1,0.7,0.0,0.2,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Halorientalis,,
UP000199199,Halostagnicola kamekurae,619731,4009,Unknown,9EURY,Unassembled WGS sequence,GCA_900116205.1,full,98.9,98.4,0.5,0.1,1.0,1368.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Halostagnicola,,
UP000199370,Haloarchaeobius iranensis,996166,3852,Unknown,9EURY,Unassembled WGS sequence,GCA_900103505.1,full,99.6,99.2,0.3,0.2,0.2,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Halorubellaceae,Haloarchaeobius,,
UP000216308,Halorubrum halodurans,1383851,3137,Unknown,9EURY,Unassembled WGS sequence,GCA_002252985.1,full,94.4,94.1,0.3,1.1,4.5,1039.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halorubrum,,
UP000219453,Natronoarchaeum philippinense,558529,3284,Unknown,NATPI,Unassembled WGS sequence,GCA_900215575.1,full,98.8,98.6,0.2,0.3,0.9,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natronoarchaeaceae,Natronoarchaeum,,
UP000236755,Haloplanus vescus,555874,2791,Unknown,9EURY,Unassembled WGS sequence,GCA_900107665.1,full,97.0,96.9,0.1,0.0,3.0,1039.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Haloplanus,,
UP000242917,Haloarcula taiwanensis,1932004,3614,Unknown,9EURY,Chromosome I; Plasmid pNYT1; Chromosome II; Plasmid pNYT2,GCA_002844335.1,full,100.0,99.8,0.2,0.0,0.0,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,,
UP000243250,Halogeometricum limi,555875,3607,Unknown,9EURY,Unassembled WGS sequence,GCA_900115785.1,full,99.9,99.5,0.4,0.0,0.1,1039.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halogeometricum,,
UP000250088,Natrarchaeobaculum aegyptiacum,745377,3626,Unknown,9EURY,Chromosome,GCA_002156705.1,full,97.4,97.2,0.2,0.1,2.4,1368.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Natrarchaeobaculum,,
