Proteome Id,Organism Id,Expected Count,Downloaded Count,Mismatch Count,Status,Error
UP000037729,1705562,3788,3788,0,Match,None
UP000037747,1765655,3245,3245,0,Match,None
UP000066737,1407499,3340,3340,0,Match,None
UP000198775,1367881,5137,5137,0,Match,None
UP000198848,1095778,4046,4046,0,Match,None
UP000198888,1073996,3425,3425,0,Match,None
UP000198902,1476858,3877,3877,0,Match,None
UP000198932,35743,2994,2994,0,Match,None
UP000199062,767519,4091,4091,0,Match,None
UP000199076,660518,4204,4204,0,Match,None
UP000199199,619731,4009,4009,0,Match,None
UP000199370,996166,3852,3852,0,Match,None
UP000216308,1383851,3137,3137,0,Match,None
UP000219453,558529,3284,3284,0,Match,None
UP000236755,555874,2791,2791,0,Match,None
UP000242917,1932004,3614,3614,0,Match,None
UP000243250,555875,3607,3607,0,Match,None
UP000250088,745377,3626,3626,0,Match,None
UP000252189,1126245,3354,3354,0,Match,None
UP000253273,1547898,3427,3427,0,Match,None
UP000258613,2044521,3734,3734,0,Match,None
UP000263012,2055893,3224,3224,0,Match,None
UP000276588,2216978,2460,2460,0,Match,None
UP000282007,660522,3463,3463,0,Match,None
UP000283805,148449,4631,4631,0,Match,None
UP000296706,1457250,3303,3303,0,Match,None
UP000307562,69527,3600,3600,0,Match,None
UP000323537,387340,3113,3113,0,Match,None
UP000324104,2448032,3817,3817,0,Match,None
UP000326170,348826,3995,3995,0,Match,None
UP000326865,2212850,2485,2485,0,Match,None
UP000428325,1816183,3448,3448,0,Match,None
UP000437065,2073113,3606,3606,0,Match,None
UP000451471,671145,4092,4092,0,Match,None
UP000466535,2692199,3185,3185,0,Match,None
UP000505020,2739057,3250,3250,0,Match,None
UP000509241,1699371,3981,3981,0,Match,None
UP000509346,869886,4954,4954,0,Match,None
UP000509626,2743089,4124,4124,0,Match,None
UP000509667,869889,4307,4307,0,Match,None
UP000509750,2743090,4176,4176,0,Match,None
UP000510869,1710539,3597,3597,0,Match,None
UP000595001,1198301,4010,4010,0,Match,None
UP000637819,2675099,4728,4728,0,Match,None
UP000653099,931585,2946,2946,0,Match,None
UP000662973,2841257,3010,3010,0,Match,None
UP000663191,370324,3429,3429,0,Match,None
UP000663203,2816475,3632,3632,0,Match,None
UP000663292,2841257,2859,2859,0,Match,None
UP000663586,2784880,3117,3117,0,Match,None
UP000826254,1017351,3639,3639,0,Match,None
UP000830434,2937524,3634,3634,0,Match,None
UP000830542,179637,3769,3769,0,Match,None
UP000830729,2938695,4521,4521,0,Match,None
UP000831768,2934340,3723,3723,0,Match,None
UP001056855,2953753,4060,4060,0,Match,None
UP001057580,1364945,4358,4358,0,Match,None
UP001166304,1429914,3782,3782,0,Match,None
UP001224926,121872,3956,3956,0,Match,None
UP000053157,1544718,3440,3440,0,Match,None
UP000053621,1544719,3741,3741,0,Match,None
UP000054387,1514971,3761,3761,0,Match,None
UP000075321,1008153,4161,4161,0,Match,None
UP000183275,1202768,4090,4090,0,Match,None
UP000183769,699431,3217,3217,0,Match,None
UP000184357,43928,3149,3149,0,Match,None
UP000185687,588898,3795,3795,0,Match,None
UP000185936,308853,4231,4231,0,Match,None
UP000186914,553468,4885,4885,0,Match,None
